0,0,0,0,1,0,-1.192093E-07,3,0,-3.576278E-07
0.02,0,0,0,1,0,-1.192093E-07,3,0,-3.576278E-07
0.04,0.02177456,-0.03223202,-0.06263331,0.8975466,-0.2534425,-0.3608005,2.714414,-0.7925594,-1.145035
0.3733333,-0.007378754,-0.05420355,-0.1266165,0.3880961,-0.337244,-0.8576992,1.15691,-1.065935,-2.699714
0.4625842,-0.01070084,-0.0558892,-0.1307252,0.365906,-0.3485223,-0.8629282,1.087017,-1.101456,-2.71951
0.4817059,-0.01223112,-0.05686764,-0.1326819,0.3552231,-0.3547061,-0.86487,1.053438,-1.120986,-2.727292
0.4973589,-0.01291228,-0.05724732,-0.1334969,0.3509634,-0.3572347,-0.865568,1.039978,-1.128952,-2.730201
0.5054377,-0.01414911,-0.05803403,-0.1350189,0.3431191,-0.3623575,-0.8665831,1.015208,-1.145106,-2.734768
0.5189207,-0.01524543,-0.05912128,-0.1366009,0.3358904,-0.3692129,-0.8665215,0.9924258,-1.16676,-2.736166
0.5334306,-0.01608587,-0.06047771,-0.1381299,0.328879,-0.3771746,-0.8657817,0.9705511,-1.192002,-2.735475
0.55073,-0.01667516,-0.0621442,-0.1396338,0.3215886,-0.3863146,-0.8644893,0.9480907,-1.221088,-2.733102
0.5625063,-0.01702096,-0.06401418,-0.1410461,0.3151239,-0.3963379,-0.8623301,0.9283508,-1.253028,-2.728036
0.5771152,-0.01710926,-0.06573132,-0.1421427,0.3100581,-0.4052361,-0.8600278,0.9130652,-1.28144,-2.722226
0.5921121,-0.01693537,-0.06764063,-0.1431324,0.306487,-0.4151478,-0.8565735,0.9025255,-1.313084,-2.712853
0.6060076,-0.01656179,-0.06975295,-0.1440597,0.3038031,-0.4260381,-0.8521708,0.8948475,-1.347867,-2.700572
0.6186627,-0.01608868,-0.071954,-0.1449259,0.3014044,-0.4372089,-0.8473511,0.8881246,-1.383581,-2.686979
0.6329641,-0.01559233,-0.0738133,-0.1455571,0.2999027,-0.4465226,-0.8430159,0.8841159,-1.413381,-2.674605
0.6472733,-0.01497909,-0.07576314,-0.1461224,0.2986109,-0.4561025,-0.8383329,0.8808537,-1.444071,-2.661121
0.6617888,-0.01421168,-0.0779793,-0.1466769,0.2970824,-0.4667099,-0.8330209,0.8770356,-1.478109,-2.64574
